"","AMZN","DIS","MCD","AIG","AXP","USB","LLY","MDT","PFE","CAT","EMR","UNP"
"17",2.125,0.398129000000001,1.223143,-2.45483899999999,0.736969000000002,0.139806,0.851387000000003,0.245794000000004,-0.210060000000002,-0.117761,-0.246614000000001,-0.284719
"18",-5.25,-0.298596,-0.570800000000002,-31.913715,-1.083781,-0.391457000000001,0.603065000000001,-1.278131,0.385110000000001,-0.333658,0.094851000000002,0.0683340000000001
"19",2.875,-0.348359000000002,0.407714000000002,23.321509,1.50284300000001,0.726991,0.886860999999996,0.737383999999999,0.560162000000002,-0.333658,-0.284555000000001,-0.0683340000000001
"20",2.875,-0.248829000000001,-0.489257000000002,-19.6391610000001,0.982627999999998,0.195728000000001,-0.744962999999998,0.491588,0.455130999999998,0.235522999999999,-0.132792999999999,0.0113849999999998
"21",2,0.995314,-0.733885999999998,-0.613754999999969,-1.112683,0.139806,-0.283796000000002,-1.081495,-0.560161999999998,0.0785080000000011,-0.341467000000002,-0.284719
"22",14.75,0.497658000000001,-0.326171000000002,-9.81953499999997,-0.303456999999995,-0.307573,0.106424000000004,0.589906999999997,-0.210060000000002,-0.353285000000001,0.189703999999999,0.102497000000001
"23",-5.625,0.199061999999998,0.0815429999999999,-5.52352300000007,-0.332359000000004,-0.726991,-0.212847000000004,1.818878,0.0700199999999995,0,-0.720873999999998,0.182221999999999
"24",-3.5625,-0.0995289999999969,-0.122314999999997,-30.686295,0.231206999999998,0.195729,-0.886860999999996,0.934019000000006,0.700202000000001,-0.333658,-0.550141,-0.113882
"25",8.125,-0.348362000000002,0.896971999999998,-16.570567,0.130054000000001,0.391456,0,0.294953999999997,0.455131000000002,-0.0785079999999994,-0.0189710000000005,-0.170837
"26",-2.875,0.099533000000001,-0.285399999999999,13.501973,-1.48839299999999,-0.307573000000001,-0.886861000000003,-0.589907000000004,-0.945272000000003,-0.588808,-0.569110999999999,0.0341700000000005
"27",-4.0625,-0.597191000000002,-0.244629,-29.458786,-0.476863000000002,-0.139806,0.319270000000003,-0.688223999999998,-0.630181999999998,-0.333658,-0.398378000000001,-0.341674
"28",0,0.746487000000002,-0.366942999999999,4.90976799999999,-0.231206999999998,-0.195727999999999,-0.243664000000003,-1.573085,0,-0.647690000000001,-0.0948519999999995,-0.0569410000000001
"29",-1.75,-0.696721,-0.693114000000001,-11.047045,0.115604999999995,-0.195728000000001,-0.498722999999998,0.294953,0,0.824332,0,0.227778
