"","AMZN","DIS","MCD","AIG","AXP","USB","LLY","MDT","PFE","CAT","EMR","UNP"
"241",-1,-1,1,-1,-1,0,-1,1,-1,-1,-1,0
"242",0,1,0,-1,-1,0,-1,-1,0,0,-1,-1
"243",-1,0,1,1,1,1,-1,-1,1,1,1,0
"244",-1,0,1,-1,-1,-1,1,-1,1,0,-1,1
"245",-1,-1,-1,-1,-1,1,1,-1,-1,0,-1,-1
"246",-1,1,1,1,1,1,0,1,-1,1,0,1
"247",0,-1,0,-1,1,0,-1,1,1,1,1,1
"248",1,1,0,1,0,0,1,1,1,1,1,0
"249",0,1,1,1,0,1,-1,1,1,0,1,1
"250",0,1,1,-1,1,-1,1,0,1,0,1,-1
"251",-1,0,0,-1,1,-1,1,-1,1,0,0,0
"252",-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0
"253",1,1,0,-1,1,1,-1,-1,-1,0,0,0
"254",-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,0
"255",-1,-1,0,-1,-1,-1,-1,-1,1,-1,1,0
"256",0,-1,0,1,-1,-1,0,-1,-1,0,1,1
"257",1,0,0,-1,-1,0,1,0,1,0,0,0
"258",0,0,0,-1,0,0,-1,-1,-1,0,0,-1
"259",0,-1,-1,-1,1,0,-1,0,-1,0,1,0
"260",0,1,1,-1,0,-1,-1,1,1,-1,-1,-1
"261",0,1,1,1,0,0,1,1,1,0,1,0
"262",0,1,1,1,1,-1,-1,-1,-1,0,-1,0
"263",1,0,-1,1,0,-1,0,1,1,-1,-1,0
"264",0,-1,-1,-1,-1,-1,-1,0,1,-1,0,0
"265",-1,-1,1,1,-1,1,1,1,1,0,0,0
"266",0,-1,-1,1,1,1,1,-1,1,0,1,-1
"267",1,1,-1,1,0,0,0,-1,0,0,1,-1
"268",-1,-1,-1,1,0,0,0,1,1,1,0,0
"269",0,0,-1,-1,0,1,-1,0,0,0,-1,-1
"270",0,1,1,-1,1,0,-1,-1,-1,0,-1,1
"271",-1,0,0,-1,0,0,-1,0,1,1,1,1
"272",-1,-1,0,-1,-1,0,-1,-1,1,0,1,1
"273",-1,1,-1,1,0,-1,1,0,0,0,-1,0
"274",-1,-1,1,1,1,0,1,-1,-1,0,-1,0
"275",0,-1,0,1,0,1,-1,-1,1,0,1,0
"276",1,1,1,-1,-1,0,-1,-1,0,0,-1,0
"277",-1,-1,-1,1,-1,0,1,-1,-1,0,0,0
"278",0,1,0,-1,1,0,1,1,1,0,0,0
"279",-1,0,1,1,0,0,0,0,1,0,-1,0
"280",1,1,0,1,1,1,0,1,1,0,0,0
"281",0,-1,0,-1,-1,0,0,0,-1,0,-1,0
"282",0,-1,-1,-1,0,-1,-1,-1,1,0,1,-1
"283",0,1,1,1,0,0,-1,-1,-1,1,1,1
"284",-1,-1,0,0,0,0,-1,0,1,0,-1,0
"285",-1,-1,0,-1,-1,-1,1,0,-1,-1,-1,0
"286",0,1,-1,-1,-1,-1,0,0,0,0,0,-1
"287",0,-1,1,1,1,0,1,-1,1,0,-1,0
"288",0,-1,0,-1,0,0,1,-1,-1,0,-1,0
"289",0,1,0,1,0,1,1,1,1,1,1,0
"290",0,-1,0,1,0,1,1,1,0,0,0,0
"291",-1,0,-1,-1,-1,-1,1,-1,-1,0,-1,0
"292",0,-1,0,1,-1,0,-1,-1,-1,0,-1,0
"293",0,-1,-1,1,1,1,0,0,-1,0,0,0
"294",1,-1,-1,-1,-1,-1,0,0,1,1,1,0
"295",0,0,0,-1,0,-1,-1,0,-1,0,1,0
"296",0,0,-1,1,1,1,-1,-1,-1,1,-1,0
"297",0,0,1,1,0,0,1,1,0,0,1,1
"298",0,0,-1,-1,-1,0,1,0,1,-1,1,0
"299",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
"300",0,1,0,1,1,0,0,-1,-1,0,-1,-1
"301",0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
"302",0,1,-1,1,1,1,-1,1,-1,0,0,0
"303",0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
"304",0,1,0,-1,1,1,1,0,1,0,1,1
"305",0,-1,-1,0,-1,-1,1,1,-1,-1,-1,0
"306",0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0
"307",0,-1,-1,-1,0,-1,-1,-1,-1,0,0,0
"308",0,1,0,1,1,1,-1,1,1,0,0,0
"309",0,0,0,1,1,1,1,0,1,1,1,1
"310",0,1,0,1,1,1,1,1,1,1,0,1
"311",-1,-1,0,0,-1,0,1,1,0,0,-1,0
"312",-1,0,1,-1,0,-1,-1,0,0,0,0,0
"313",0,1,0,1,1,1,1,-1,1,0,1,0
"314",-1,-1,0,1,-1,0,-1,-1,-1,0,0,0
"315",0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
"316",0,0,0,-1,-1,0,1,-1,1,1,0,-1
"317",0,1,0,1,1,1,1,1,1,1,1,0
"318",0,1,0,-1,-1,0,0,-1,1,-1,-1,0
"319",1,0,1,-1,0,0,0,0,1,0,1,-1
"320",0,1,0,1,1,0,1,-1,-1,0,1,1
"321",1,-1,0,-1,0,-1,-1,-1,-1,0,0,0
"322",1,1,0,1,1,1,1,1,1,1,1,0
"323",0,0,0,-1,-1,0,1,0,0,0,0,0
"324",0,1,0,1,0,-1,1,1,1,-1,-1,0
"325",1,1,0,1,1,0,-1,0,-1,1,1,1
"326",0,0,0,1,0,-1,0,1,-1,0,-1,0
"327",0,-1,-1,-1,-1,-1,0,-1,1,0,0,0
"328",0,-1,0,-1,-1,-1,0,-1,1,0,-1,-1
"329",0,-1,0,-1,0,0,-1,-1,-1,0,-1,0
"330",0,1,0,1,0,0,1,0,1,1,1,0
"331",0,1,0,1,1,-1,0,-1,1,0,0,1
"332",0,-1,0,1,1,1,1,1,1,0,1,1
"333",0,-1,1,1,-1,-1,1,0,0,0,0,-1
"334",1,0,0,1,0,-1,1,1,1,0,0,-1
"335",0,1,0,-1,1,1,1,1,-1,0,-1,0
"336",0,-1,-1,1,-1,1,-1,-1,-1,0,0,0
"337",0,0,0,1,1,1,1,1,1,0,1,0
"338",0,0,0,-1,-1,-1,1,-1,1,0,0,0
"339",0,-1,0,-1,-1,0,-1,-1,1,0,0,1
"340",-1,-1,1,-1,0,0,-1,-1,1,0,0,1
"341",0,1,0,-1,1,-1,-1,0,-1,1,1,1
"342",0,0,1,-1,-1,0,-1,-1,-1,0,-1,0
"343",-1,-1,0,1,0,0,1,0,1,0,0,0
"344",0,0,0,1,-1,1,0,0,-1,0,1,0
"345",0,1,0,1,1,1,1,1,1,1,1,1
"346",0,1,1,-1,0,-1,1,1,0,0,1,-1
"347",0,0,1,-1,-1,0,-1,-1,0,0,0,0
"348",1,1,0,1,1,0,0,-1,0,0,1,0
"349",0,0,1,-1,1,1,0,1,-1,0,0,-1
"350",0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0
"351",1,0,1,1,0,1,0,1,-1,0,1,-1
"352",0,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1
"353",0,0,0,-1,-1,0,1,1,1,1,0,0
"354",-1,-1,0,-1,0,0,-1,0,0,-1,-1,0
"355",1,0,-1,-1,0,0,0,0,-1,0,0,1
"356",0,0,-1,-1,0,0,1,0,0,0,0,0
"357",0,0,-1,1,0,0,1,1,1,0,0,0
"358",0,-1,0,1,0,0,1,1,-1,0,1,0
"359",0,0,0,-1,-1,1,-1,0,0,-1,0,0
"360",0,1,0,1,-1,0,0,0,1,0,0,0
"361",0,-1,-1,-1,0,-1,0,0,-1,0,-1,-1
"362",-1,-1,1,1,0,0,0,1,-1,-1,-1,-1
"363",0,0,0,-1,0,0,-1,-1,0,0,1,0
"364",0,-1,0,-1,0,0,-1,1,-1,0,0,0
"365",-1,-1,0,1,-1,-1,0,-1,1,0,-1,-1
"366",-1,0,-1,1,-1,0,-1,0,-1,0,0,-1
"367",0,-1,0,1,0,1,-1,1,1,0,-1,0
"368",0,0,-1,1,0,1,-1,1,1,0,0,0
"369",1,1,0,1,1,0,1,1,1,1,-1,0
"370",0,1,1,1,1,1,-1,-1,1,0,1,0
"371",0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0
"372",0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
"373",0,-1,0,0,-1,-1,0,0,0,0,0,0
"374",0,0,0,1,-1,0,-1,-1,-1,0,-1,1
"375",0,0,0,1,1,1,0,1,1,-1,0,0
"376",0,1,-1,-1,-1,0,0,-1,-1,0,-1,1
"377",0,0,0,1,1,1,1,1,1,1,1,0
"378",0,-1,0,1,1,0,1,0,-1,0,0,0
"379",1,0,0,-1,-1,0,-1,0,-1,0,1,0
"380",0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0
"381",0,0,0,1,0,1,1,0,1,0,-1,0
"382",0,-1,0,-1,-1,-1,-1,1,-1,-1,1,0
"383",0,1,0,-1,0,0,1,-1,-1,0,-1,1
"384",1,-1,0,1,1,1,-1,1,-1,1,1,0
"385",0,1,1,1,1,1,1,1,1,0,1,0
"386",-1,-1,0,1,-1,-1,-1,1,-1,-1,0,0
"387",0,1,0,-1,0,1,0,0,1,1,-1,0
"388",0,-1,0,1,-1,-1,1,0,1,0,0,0
"389",0,0,0,-1,1,-1,1,0,0,1,-1,0
"390",0,0,0,-1,0,-1,0,1,1,0,0,-1
"391",-1,0,0,-1,0,0,-1,0,-1,0,1,0
"392",-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1
"393",0,1,1,-1,0,0,0,1,1,0,1,0
"394",0,1,-1,-1,1,1,1,0,0,0,0,1
"395",0,0,-1,-1,1,1,0,1,0,0,1,0
"396",0,-1,0,1,0,0,1,0,1,0,1,-1
"397",0,0,0,1,1,0,0,-1,1,1,0,0
"398",0,1,0,-1,1,0,0,-1,0,-1,0,0
"399",0,0,0,-1,0,0,1,0,-1,0,0,1
"400",0,0,0,-1,-1,0,0,-1,0,0,0,0
"401",0,0,0,-1,-1,1,0,1,-1,-1,-1,0
"402",0,1,0,1,0,1,-1,-1,0,0,1,0
"403",0,-1,-1,-1,0,0,-1,-1,0,0,-1,0
"404",0,0,0,-1,0,-1,0,1,1,0,0,0
"405",0,0,0,1,0,0,1,-1,1,1,0,0
"406",0,0,0,-1,0,0,1,0,0,0,0,-1
"407",0,0,0,-1,-1,0,0,-1,0,0,0,0
"408",0,-1,1,1,-1,0,1,1,1,1,0,0
"409",0,0,1,-1,-1,1,1,0,0,-1,0,0
"410",0,-1,0,-1,-1,-1,0,0,1,0,-1,-1
"411",0,0,0,-1,1,0,1,0,-1,-1,1,-1
"412",0,0,0,1,-1,-1,0,1,-1,0,0,-1
"413",0,1,0,-1,1,1,1,0,0,0,0,0
"414",0,0,1,-1,0,0,1,0,0,-1,0,0
"415",0,1,-1,-1,1,0,1,1,1,0,1,0
"416",0,0,0,-1,0,-1,-1,0,-1,0,0,0
"417",0,-1,-1,1,-1,-1,-1,0,-1,0,-1,0
"418",-1,-1,0,1,0,0,-1,1,-1,-1,0,0
"419",0,-1,0,1,-1,0,0,-1,-1,-1,-1,0
"420",0,1,0,-1,0,0,-1,-1,0,0,0,0
"421",0,0,1,-1,0,1,1,0,1,0,0,1
"422",-1,-1,0,-1,0,-1,1,-1,1,0,0,0
"423",0,-1,-1,1,-1,0,-1,-1,-1,0,-1,0
"424",0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
"425",0,-1,-1,1,0,0,1,0,1,0,0,0
"426",-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1
"427",0,-1,-1,-1,-1,-1,0,-1,-1,0,0,0
"428",0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"429",0,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1
"430",0,1,0,-1,-1,-1,0,-1,-1,1,0,0
"431",0,0,-1,1,1,1,1,1,1,1,1,0
"432",0,-1,-1,1,-1,1,0,0,1,0,-1,-1
"433",0,0,0,1,0,0,1,0,1,-1,-1,0
"434",0,0,1,1,0,1,1,1,1,0,0,0
"435",0,1,0,1,1,1,1,1,1,0,1,1
"436",0,-1,0,-1,0,0,1,1,1,0,-1,-1
"437",0,1,0,1,0,1,1,0,1,1,0,0
"438",0,1,1,1,1,0,-1,0,-1,1,1,0
"439",0,-1,0,-1,-1,-1,0,0,-1,0,0,0
